,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"8,748,846","2,813","924,073,883",106.05,106.35,105.10,105.40,-,1.15,105.35,23,105.40,13,0.00
1,0051,元大中型100,"35,775",32,"1,441,951",40.26,40.55,40.25,40.32,+,0.07,40.25,6,40.32,36,0.00
2,0052,富邦科技,"719,857",290,"66,592,577",92.75,93.50,92.25,92.40,-,1.25,92.35,4,92.40,3,0.00
3,0053,元大電子,"16,167",14,"817,433",50.65,51.00,50.40,50.40,-,0.6,50.60,1,50.65,1,0.00
4,0054,元大台商50,"3,571",5,"90,502",25.48,25.48,25.30,25.30,-,0.2,25.27,24,25.38,29,0.00
5,0055,元大MSCI金融,"78,295",35,"1,395,165",17.94,17.94,17.79,17.85,-,0.1,17.85,2,17.90,10,0.00
6,0056,元大高股息,"10,053,909","3,273","303,502,316",30.25,30.27,30.09,30.23,-,0.02,30.23,11,30.24,33,0.00
7,0057,富邦摩台,"127,873",13,"8,912,287",69.80,69.95,69.20,69.30,-,0.7,69.05,10,69.55,60,0.00
8,0061,元大寶滬深,"193,419",91,"4,103,730",21.49,21.49,21.10,21.11,-,0.39,21.11,52,21.15,10,0.00
9,006203,元大MSCI台灣,"4,663",6,"229,767",49.61,49.70,49.35,49.35,-,0.7,49.10,35,49.20,1,0.00
10,006204,永豐臺灣加權,"203,978",9,"13,242,781",64.90,64.95,64.90,64.95,-,0.35,64.85,50,65.00,100,0.00
11,006205,富邦上証,"1,975,268",196,"68,612,397",35.13,35.13,34.56,34.68,-,0.46,34.68,107,34.70,7,0.00
12,006206,元大上證50,"1,076,550",112,"38,390,383",35.86,35.86,35.31,35.38,-,0.54,35.38,40,35.44,35,0.00
13,006207,FH滬深,"567,007",83,"15,693,141",27.85,27.93,27.47,27.50,-,0.47,27.54,31,27.59,10,0.00
14,006208,富邦台50,"1,178,103",476,"70,805,430",60.50,60.55,59.90,60.00,-,0.7,59.95,18,60.00,6,0.00
15,00625K,富邦上証+R,"54,000",5,"438,030",8.18,8.18,8.11,8.11,-,0.14,8.07,5,8.12,3,0.00
16,00631L,元大台灣50正2,"5,283,101","1,312","353,917,195",67.25,67.80,66.35,66.50,-,1.4,66.50,308,66.60,12,0.00
17,00632R,元大台灣50反1,"87,615,401","5,761","721,921,089",8.23,8.27,8.18,8.25,+,0.07,8.25,"1,680",8.26,"4,963",0.00
18,00633L,富邦上証正2,"9,646,000","2,291","532,289,550",56.00,56.10,54.50,54.80,-,1.5,54.80,892,54.85,315,0.00
19,00634R,富邦上証反1,"1,364,000",145,"6,391,370",4.66,4.71,4.66,4.69,+,0.05,4.69,453,4.71,186,0.00
20,00635U,元大S&P黃金,"1,197,350",450,"32,090,731",26.98,27.00,26.70,26.80,-,0.25,26.78,8,26.80,8,0.00
21,00636,國泰中國A50,"375,339",169,"8,998,769",24.22,24.22,23.84,23.88,-,0.37,23.88,252,23.90,1,0.00
22,00636K,國泰中國A50+U,100,1,817,8.17,8.17,8.17,8.17,-,0.11,8.10,10,8.23,10,0.00
23,00637L,元大滬深300正2,"68,338,100","10,331","1,469,690,276",21.78,21.85,21.27,21.35,-,0.57,21.35,938,21.36,20,0.00
24,00638R,元大滬深300反1,"1,420,000",166,"13,476,890",9.44,9.54,9.43,9.54,+,0.13,9.53,16,9.54,368,0.00
25,00639,富邦深100,"1,261,343",181,"17,690,512",14.20,14.21,14.00,14.05,-,0.18,14.04,301,14.05,42,0.00
26,00640L,富邦日本正2,"254,000",52,"5,083,070",20.04,20.14,19.94,20.01,-,0.13,20.01,1,20.03,25,0.00
27,00641R,富邦日本反1,"196,000",28,"2,594,680",13.23,13.27,13.22,13.26,+,0.07,13.23,157,13.26,48,0.00
28,00642U,元大S&P石油,"9,510,209","1,989","74,549,407",7.90,7.91,7.80,7.80,-,0.04,7.80,141,7.81,217,0.00
29,00643,群益深証中小,"544,754",164,"9,127,891",17.04,17.04,16.66,16.75,-,0.21,16.75,6,16.76,5,0.00
30,00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,3.84,2,3.93,2,0.00
31,00645,富邦日本,"116,745",23,"2,460,669",21.06,21.10,21.05,21.08,-,0.06,21.03,20,21.07,1,0.00
32,00646,元大S&P500,"4,193,462",786,"125,984,506",30.17,30.19,29.90,30.13,-,0.35,30.10,11,30.13,3,0.00
33,00647L,元大S&P500正2,"691,000",199,"28,451,080",41.59,41.66,40.78,41.00,-,1.3,41.00,4,41.05,100,0.00
34,00648R,元大S&P500反1,"963,052",112,"9,179,747",9.49,9.58,9.47,9.55,+,0.14,9.54,23,9.55,512,0.00
35,00650L,FH香港正2,"1,388,200",428,"31,173,670",22.90,23.02,22.18,22.39,-,0.62,22.37,10,22.39,60,0.00
36,00651R,FH香港反1,"524,000",84,"4,448,010",8.38,8.54,8.35,8.52,+,0.14,8.51,9,8.52,58,0.00
37,00652,富邦印度,"118,195",57,"2,473,968",20.97,21.03,20.86,20.94,-,0.02,20.95,1,20.97,3,0.00
38,00653L,富邦印度正2,"7,952,200","1,044","184,762,040",23.25,23.43,22.98,23.26,+,0.06,23.25,647,23.26,146,0.00
39,00654R,富邦印度反1,"83,000",29,"1,047,290",12.59,12.69,12.58,12.61,+,0.04,12.60,4,12.61,19,0.00
40,00655L,國泰中國A50正2,"5,895,000","1,423","238,439,200",41.03,41.19,40.06,40.22,-,1.16,40.22,904,40.25,1,0.00
41,00656R,國泰中國A50反1,"241,000",58,"2,087,990",8.60,8.70,8.60,8.70,+,0.12,8.67,86,8.69,369,0.00
42,00657,國泰日經225,"106,556",8,"3,079,833",29.02,29.02,28.90,28.90,-,0.21,28.84,51,28.90,10,0.00
43,00657K,國泰日經225+U,100,1,991,9.91,9.91,9.91,9.91,-,0.05,9.86,10,9.91,1,0.00
44,00660,元大歐洲50,"50,089",9,"1,188,796",23.91,23.91,23.64,23.64,-,0.27,23.67,2,23.74,40,0.00
45,00661,元大日經225,108,1,"3,096",--,--,--,--, ,0.0,29.41,15,29.55,15,0.00
46,00662,富邦NASDAQ,"1,340,010",370,"56,548,839",42.41,42.41,42.06,42.40,-,0.96,42.40,16,42.41,10,0.00
47,00663L,國泰臺灣加權正2,"221,000",26,"13,267,450",60.10,60.25,59.35,59.35,-,0.75,59.40,228,59.50,198,0.00
48,00664R,國泰臺灣加權反1,"2,733,004",283,"25,555,886",9.33,9.38,9.29,9.36,+,0.05,9.36,302,9.37,4,0.00
49,00665L,富邦恒生國企正2,"278,000",66,"5,810,820",21.17,21.29,20.55,20.70,-,0.46,20.69,101,20.72,3,0.00
50,00666R,富邦恒生國企反1,"86,000",8,"1,132,420",13.04,13.21,13.04,13.15,+,0.15,13.13,100,13.17,5,0.00
51,00668,國泰美國道瓊,"364,773",85,"10,675,272",29.49,29.49,29.16,29.23,-,0.28,29.23,1,29.24,48,0.00
52,00668K,國泰美國道瓊+U,100,1,"1,002",10.02,10.02,10.02,10.02,-,0.06,9.96,10,10.03,1,0.00
53,00669R,國泰美國道瓊反1,"1,729,000",263,"17,955,350",10.34,10.43,10.33,10.41,+,0.08,10.40,30,10.41,"1,066",0.00
54,00670L,富邦NASDAQ正2,"3,235,990","1,410","204,318,672",63.60,63.85,62.10,62.80,-,3.9,62.80,124,62.90,9,0.00
55,00671R,富邦NASDAQ反1,"5,690,000",538,"43,330,310",7.59,7.66,7.55,7.63,+,0.22,7.61,168,7.63,"1,247",0.00
56,00672L,元大S&P原油正2,"81,389,100","1,992","64,336,620",0.80,0.81,0.78,0.78,+,0.02,0.78,"100,589",0.79,"6,086",0.00
57,00673R,元大S&P原油反1,"649,000",185,"19,931,450",30.56,31.01,30.41,30.96,-,0.47,30.95,5,30.96,128,0.00
58,00674R,元大S&P黃金反1,"339,000",65,"4,248,580",12.46,12.60,12.46,12.56,+,0.11,12.55,1,12.56,94,0.00
59,00675L,富邦臺灣加權正2,"428,000",184,"11,013,120",25.74,26.03,25.51,25.62,-,0.35,25.62,1,25.63,399,0.00
