開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元)
2020/12/07,永固一-KY,55461.0,櫃檯買賣,無擔保轉換公司債,美國標,"6,800",100.0,1.0,680,50.0,400.0,2020/12/16,中國信託,0,0.5,0,0,0.0,0.0,0.0,0.0
2020/12/04,信邦七,30237.0,櫃檯買賣,無擔保轉換公司債,美國標,"11,400",101.0,1.0,"1,140",50.0,400.0,2020/12/15,富邦,0,0.5,0,0,0.0,0.0,0.0,0.0
2020/12/04,達亞,6762.0,櫃檯買賣,初上櫃,美國標,"1,660",228.37,1.0,238,50.0,400.0,2020/12/18,元富,0,4.5,0,0,0.0,0.0,0.0,0.0
2020/12/03,森寶一,34891.0,櫃檯買賣,有擔保轉換公司債,美國標,900,103.0,1.0,90,50.0,400.0,2020/12/14,合作金庫,0,0.5,0,0,0.0,0.0,0.0,0.0
2020/12/02,揚秦,2755.0,櫃檯買賣,初上櫃,美國標,"1,360",48.0,1.0,178,50.0,400.0,2020/12/16,台新,0,5.0,0,0,0.0,0.0,0.0,0.0
2020/12/01,艾美特四KY,16264.0,櫃檯買賣,無擔保轉換公司債,美國標,"3,460",100.0,1.0,346,30.0,400.0,2020/12/10,凱基,0,0.5,0,0,0.0,0.0,0.0,0.0
2020/11/30,安普新,6743.0,集中交易市場,初上市,美國標,"8,640",80.0,1.0,"1,090",50.0,400.0,2020/12/14,中國信託,0,5.0,0,0,0.0,0.0,0.0,0.0
2020/11/27,耀登科技,3138.0,集中交易市場,初上市,美國標,"3,740",42.59,1.0,497,50.0,400.0,2020/12/11,國票,"267,547,660",4.8,"1,695","16,889",68.6,101.0,71.54,46.0
2020/11/26,叡揚資訊,6752.0,櫃檯買賣,初上櫃,美國標,"1,800",50.0,1.0,230,50.0,400.0,2020/12/10,群益,"119,980,950",4.0,589,"7,903",58.51,81.0,66.66,56.0
2020/11/23,台驊四,26364.0,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",102.0,1.0,255,50.0,400.0,2020/12/02,凱基,"267,979,230",0.5,480,"10,480",104.2,108.69,105.09,105.09
2020/11/17,亞泰金屬,6727.0,櫃檯買賣,初上櫃,美國標,"2,005",48.0,1.0,267,50.0,400.0,2020/12/01,華南,"127,543,060",5.0,"1,359","11,864",62.4,68.88,63.61,52.8
2020/11/10,八貫,1342.0,集中交易市場,初上市,美國標,"4,234",50.0,1.0,559,50.0,400.0,2020/11/24,富邦,"278,231,580",4.5,"1,379","15,925",63.6,73.1,65.71,55.0
2020/11/06,陞達科技,4945.0,櫃檯買賣,初上櫃,美國標,"2,244",34.86,1.0,292,50.0,400.0,2020/11/20,國票,"115,984,120",5.0,"1,383","10,906",49.9,63.7,51.69,38.0
2020/10/21,桂盟三,53063.0,櫃檯買賣,有擔保轉換公司債,美國標,"8,500",103.0,1.0,850,30.0,400.0,2020/10/30,凱基,"913,722,320",1.0,718,"19,924",106.13,120.0,107.5,107.5
2020/10/21,安集二,64772.0,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",100.0,1.0,255,50.0,400.0,2020/10/30,國泰,"306,465,660",0.5,599,"8,781",115.2,150.1,120.18,120.18
2020/10/16,意德士,7556.0,櫃檯買賣,初上櫃,美國標,"1,712",80.0,1.0,223,50.0,400.0,2020/10/30,永豐金,"216,269,680",5.0,"2,470","13,844",124.0,136.5,126.33,88.0
2020/10/13,泰金一-KY,66291.0,櫃檯買賣,無擔保轉換公司債,美國標,"1,700",100.0,1.0,170,50.0,400.0,2020/10/22,中國信託,"183,392,590",0.5,574,"8,668",106.1,113.0,107.88,107.88
2020/10/05,軒郁,6703.0,櫃檯買賣,初上櫃,美國標,"2,040",80.08,1.0,279,50.0,400.0,2020/10/20,富邦,"255,615,010",5.0,"3,256","21,146",123.0,200.0,125.3,96.9
2020/09/28,智崴三,52633.0,櫃檯買賣,無擔保轉換公司債,美國標,"5,951",100.0,1.0,595,50.0,400.0,2020/10/12,台新,"604,869,400",0.5,335,"11,333",100.7,115.0,101.64,101.64
2020/09/24,十銓二,49672.0,櫃檯買賣,有擔保轉換公司債,美國標,"6,880",102.0,1.0,688,50.0,400.0,2020/10/07,第一金,"732,547,700",0.5,692,"16,215",105.0,240.0,106.47,106.47
2020/09/24,網家一,80441.0,櫃檯買賣,有擔保轉換公司債,美國標,"13,304",103.0,1.0,"1,330",30.0,400.0,2020/10/07,凱基,"1,429,120,140",1.5,"1,138","31,470",105.77,230.0,107.42,107.42
2020/09/23,汎德永業,2247.0,集中交易市場,初上市,美國標,"6,457",168.22,1.0,837,50.0,400.0,2020/10/12,群益,"1,846,031,500",4.5,"15,740","51,857",270.99,381.0,285.9,180.0
2020/09/09,康全電訊,8089.0,櫃檯買賣,初上櫃,美國標,"4,425",39.0,1.0,617,50.0,400.0,2020/09/23,統一,"243,290,320",5.0,"2,044","30,915",53.9,58.0,54.98,45.24
2020/09/03,亞洲藏壽司,2754.0,櫃檯買賣,初上櫃,美國標,"5,117",45.08,1.0,669,50.0,400.0,2020/09/17,元大,"398,335,680",5.0,"2,056","14,897",71.39,100.0,77.85,55.0
2020/08/26,集雅社一,29371.0,櫃檯買賣,有擔保轉換公司債,美國標,"2,125",104.0,1.0,212,50.0,400.0,2020/09/04,富邦,"225,465,300",0.5,177,"2,989",104.6,120.0,106.1,106.1
2020/08/25,永冠三-KY,15893.0,櫃檯買賣,無擔保轉換公司債,美國標,"12,750",100.0,1.0,"1,275",50.0,400.0,2020/09/03,中國信託,"1,320,378,820",0.5,941,"24,755",101.5,120.02,103.56,103.56
2020/08/13,艾姆勒,2241.0,集中交易市場,初上市,美國標,"6,784",42.02,2.0,890,50.0,400.0,2020/08/26,元大,"376,834,900",5.0,"1,682","24,707",54.0,70.0,55.55,50.0
2020/08/11,匯僑設計,6754.0,集中交易市場,初上市,美國標,"4,080",35.43,1.0,510,50.0,400.0,2020/08/25,凱基,"236,304,380",5.0,"2,448","23,522",56.2,70.0,57.92,45.0
2020/08/06,鈺齊五-KY,98025.0,櫃檯買賣,無擔保轉換公司債,美國標,"4,250",100.0,1.0,425,50.0,400.0,2020/08/17,國票,"452,831,280",0.5,648,"19,271",105.5,110.1,106.55,106.55
2020/07/31,世紀鋼四,99584.0,櫃檯買賣,無擔保轉換公司債,美國標,"12,750",100.0,1.0,"1,275",50.0,400.0,2020/08/11,群益,"1,066,290,440",0.5,426,"10,544",100.0,110.0,101.13,100.0
2020/06/15,東典光電,6588.0,櫃檯買賣,初上櫃,美國標,"2,330",57.63,1.0,311,50.0,400.0,2020/07/01,元富,"244,385,270",4.5,"4,631","32,320",101.6,124.0,104.89,68.0
2020/05/28,豐藝三,61893.0,櫃檯買賣,無擔保轉換公司債,美國標,"8,500",101.0,1.0,850,50.0,400.0,2020/06/08,群益,"388,726,950",0.5,192,"3,740",101.0,498.0,103.94,101.0
2020/05/26,ABC-KY,6598.0,集中交易市場,第一上市初上市,美國標,"6,516",40.0,1.0,824,50.0,400.0,2020/06/09,永豐金,"587,776,660",5.0,"3,896","29,322",80.5,550.0,90.21,48.0
2020/05/25,昇佳電子,6732.0,櫃檯買賣,初上櫃,美國標,"2,546",415.0,1.0,328,50.0,400.0,2020/06/08,兆豐,"1,624,912,870",5.0,"4,306","15,903",628.01,683.0,638.22,498.0
2020/05/11,新唐一,49191.0,櫃檯買賣,無擔保轉換公司債,美國標,"18,000",100.0,1.0,"1,800",50.0,400.0,2020/05/20,中國信託,"540,953,740",0.5,473,"5,361",100.0,110.0,100.91,100.0
2020/05/06,永固-KY,5546.0,集中交易市場,第一上市初上市,美國標,"6,227",45.0,1.0,895,50.0,400.0,2020/05/20,康和,"370,055,600",4.7,"1,564","23,781",55.58,88.9,59.43,58.5
2020/05/04,三竹,8284.0,櫃檯買賣,初上櫃,美國標,"3,708",37.5,1.0,493,50.0,400.0,2020/05/18,兆豐,"222,824,840",5.0,"3,192","46,876",58.88,61.5,60.09,45.0
2020/04/20,撼訊四,61504.0,櫃檯買賣,無擔保轉換公司債,美國標,"3,550",100.0,1.0,355,50.0,400.0,2020/04/29,宏遠,"379,239,070",0.5,221,"4,439",102.22,117.33,106.83,106.83
2020/03/30,州巧,3543.0,集中交易市場,初上市,美國標,"7,204",12.0,1.0,900,50.0,400.0,2020/04/15,福邦,"109,985,470",4.5,450,"24,104",14.5,18.0,15.27,15.0
2020/03/13,應廣,6716.0,櫃檯買賣,初上櫃,美國標,"1,368",32.56,1.0,179,50.0,400.0,2020/03/27,兆豐,"65,666,780",5.0,955,"12,404",46.7,54.6,48.0,42.0
2020/02/26,劍麟二,22282.0,櫃檯買賣,無擔保轉換公司債,美國標,"2,550",100.0,1.0,255,50.0,400.0,2020/03/09,元大,"270,260,630",0.5,416,"11,327",104.5,110.0,105.98,105.98
